# Classic Mandarin IPA transcription
# version: 20190510
# author: hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# The transcription is intended to reflect the system of 洪武正韻譯訓, but considering the actual phonetics of modern forms of Classic Mandarin (e.g. the Classic Mandarin vocalization found in Kun Opera), the following simplifications maybe applied upon the transcribed system:
#  Syllable codae -p -t -k maybe merged to glottal stop -[ʔ];
#  Breathy fricatives ʂʱ ʃʱ sʱ fʱ ɦ may each be merged into [ʂ] [ʃ] [s] [f] [h]~[x] respectively;
#  While preceding /i/ or /y/, velar and glottal consonants /k/ /kh/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ may be palatalized and fricativized to [tɕ] [tɕʰ] [dʑ] [j] [j] [ɕ] [ɕ(ʱ)] respectively;
#  finals -iaw and -iɛw may be merged.
# 洪武正韻gloss is extracted from data digitalized by Kanseki Repository. Baxter-Sagart gloss is from Baxter-Sagart Old Chinese reconstruction. 廣韻gloss is from ytenx.org.
# Transcription and data organization is done by hhliow (github.com/hhliow).
字	異體	ytenx小韻號	洪武正韻譯訓音(IPA)	洪武正韻譯訓音	洪武正韻gloss	對應廣韻字號	Baxter-Sagart disambiguator	廣韻gloss
和	咊龢	1640	ɦwɔ̌	ㄏㄨㄛ꜅	應和又調也爾雅徒吹謂之和吹音去聲又歌韻	18583	tune (instruments); respond in singing	聲相應胡臥切又音禾三
哆		695	tʃʰî	꜂ㄔㄧ	張口又大口貌又見哿禡二韻	?		
唾	涶	1656	tʰ(w)ɔ̌	ㄊㄛ꜄	吐臥切口液玉篇作涶	18596		說文云口液也湯臥切七
喭	唁	1488	ŋɑ̌n	ㄫㄢ꜅	論語由也喭亦作諺又弔失容也又霰韻	17559		弔失[容/國]又五弁切
嚨		4	lyȕŋ	꜁ㄌㄩㄨㆭ	喉也肮也	?		
囈		1274	(ŋ)ǐ	ㄫㄧ꜅	列子啽囈呻呼釋文衆言也啽音嵓	16356		亦同「䆿」(睡語)
坐	座	1014	dz(w)ɔ̌'	ㆡㄛ'꜅	徂果切行坐之對又箇韻	13045	sit	釋名曰坐挫也骨節挫屈也徂果切二
坐	座	1653	dz(w)ɔ̌	ㆡㄛ꜅	徂臥切行坐又處也又坐罪又坐獄對理曰坐左傳鍼莊子爲坐有二音又與座同漢梅福傳當戸牖之法坐師古曰戸牖之間謂之扆言負扆也法坐正坐也聽朝之處孔融傳坐上客常滿又哿韻	18622	seat n.	被罪又藏果切
垜	垛	1016	tʰ(w)ɔ̂	꜂ㄊㄛ	堂塾又射墉	?		
埴		1263	tʃʰɨ̌	ㄔ꜄	黏土俗作埴又陌韻	15353		黏土
埵		1015	t(w)ɔ̂	꜂ㄉㄛ	堅土又果實下垂貌荀子鹿捶隴種	12992		土埵丁果切十五
埶	蓺藝秇	1274	(ŋ)ǐ	ㄫㄧ꜅	同上(蓺)見説文	16352	to plant	說文穜也周禮音丗
堄		1274	(ŋ)ǐ	ㄫㄧ꜅	埤堄城上女牆亦作僻倪作睥睨杜甫詩睥睨登哀柝蓋女牆開箭眼以窺望城下因以為名	16034		埤堄女牆也見博雅
堩		1782	kə̌ŋ	ㄍㄥ꜄	路道从亘誤	19256		路
堫		1731	ʈʂʰwɑ̌ŋ	ㄔㄨㄤ꜄	楚降切不耕而種亦作䎫	?		
墮		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	落也墜也又灰箇二韻	13038		倭墮鬌也又徒果切
墮		1646	d(w)ɔ̌	ㄉㄛ꜅	又見灰哿韻	?		
墯		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	漢高帝紀士卒墯指又曰漢王急推墯二子賈誼傳梁王墯馬又箇韻	?		
墯		1646	d(w)ɔ̌	ㄉㄛ꜅	同上(憜)又墜也落也亦作墮又見哿韻	?		
士		700	ʂʱɨ̌'	ㄕ'꜅	漢志學以居位曰士又未娶謂之士詩以穀我士女釐爾士女又事也大事曰公小事曰士詩勿士行枚又察也理也故治獄者謂之士又士卒又漢制嘗爵為侯而奪免者曰公士又士伍謂無爵而與士卒為伍也	?		
士		1264	ʂʱɨ̌	ㄕ꜅	事也又士卒又紙韻	?		
大		1646	d(w)ɔ̌	ㄉㄛ꜅	巨也又見下及泰韻	?		
大		1656	tʰ(w)ɔ̌	ㄊㄛ꜄	猛也甚也禮記童子不衣裘裳鄭康成曰爲大溫也徐邈音唾陸徳明音泰又泰韻本韻	?		
妥		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	吐火切安也平也帖也	13033	at ease	安也他果切九
姼		695	tʃʰî	꜂ㄔㄧ	美女	?		
娀		20	syuŋ	ㄙㄩㄨㆭ	國名有娀氏髙辛妃生契	99		有娀氏女𥳑狄帝嚳次妃吞乙卵生契
媛		1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	嬋媛美女又先韻	18017	a beauty	淑媛
媠		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	好也方言美也南楚之外曰媠又不嚴飾曰燕媠漢書張敞被輕媠之名又箇韻	13034		好也
媠		1646	d(w)ɔ̌	ㄉㄛ꜅	谷永傳車馬媠游之具又哿韻	18628		嬾婦人也
嫄		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	髙辛妃姜嫄生后稷	4268		姜嫄帝嚳元妃
寘	置	1260	tʃɨ̌	ㄓ꜄	支義切置之也納之也猶言安著也又止也廢也	14738	to place	止也置也廢也支義切八
寱		1274	(ŋ)ǐ	ㄫㄧ꜅	玉篇寐言唐元結有寱論譏諫官不言事見文粹	?		
岸		1488	ŋɑ̌n	ㄫㄢ꜅	魚幹切崖也廣韻水涯高者玉篇魁岸雄傑也高也又露頟曰岸漢光武岸㥽見馬援又獄也詩宜岸宜獄	17552	bank of a river	水涯髙者五旰切九
崜		1015	t(w)ɔ̂	꜂ㄉㄛ	山形	?		
崧	嵩	20	syuŋ	ㄙㄩㄨㆭ	山大而髙通作嵩	97	high	上同「嵩」(山髙也又山名又姓史記有嵩極玄子或作崧息弓切九)
嵩	崧	20	syuŋ	ㄙㄩㄨㆭ	山髙也又中嶽詩作崧	96	high	山髙也又山名又姓史記有嵩極玄子或作崧息弓切九
嶞		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	爾雅蠻山曰墮又山小又山狹而長又吐火切	?		
差		1652	dz(w)ɔ̌	ㆡㄛ꜅	同上(蹉)又周禮保氏注九數有差分重差之法又支皆歌麻泰禡六韻	?		
帠		1274	(ŋ)ǐ	ㄫㄧ꜅	法也莊子汝又何帠以治天下感子之心為	?		
師		38	ʂɨ	ㄕ	衆也範也法也效也又姓官名卦名又導之敎訓曰師公羊傳京師者何衆大也周禮五旅為師二千五百人又師子狻猊	?		
幟	旘	1263	tʃʰɨ̌	ㄔ꜄	旗也廣雅幡也又作織亦作旘	15350		又音試音志
干	乾	1488	ŋɑ̌n	ㄫㄢ꜅	同上(犴)周禮司裘注太射干五十大射禮注干讀曰犴胡犬也鄉射記作豻侯又古岸字	?		
座	坐	1653	dz(w)ɔ̌	ㆡㄛ꜅	座也通作坐	18621	seat n.	牀座徂臥切二
廝	㒋厮	38	ʂɨ	ㄕ	同上(釃)唐髙士㢘傳附故渠廝引旁出又見下	?		
志	誌	1260	tʃɨ̌	ㄓ꜄	在心為志謂意志也又骨鏃不翦羽為志又記也與誌同漢書十志又旗也史記沛公以周昌為職志篆文作从之从心心之所之謂之志論語所謂志於道是也	15247	goal, intention, aspiration	意慕也詩云在心爲志爾雅曰骨鏃不翦羽謂之志職吏切七
忮		1260	tʃɨ̌	ㄓ꜄	很也莊子大勇不忮又懻忮傷害詩不忮不求又勁很也亦作伎	14739		懻忮害心說文很也
恀		695	tʃʰî	꜂ㄔㄧ	恃也	?		
恆	恒	1782	kə̌ŋ	ㄍㄥ꜄	徧也詩恆之秬秠音古鄧切又弦也詩如月之恆箋月上而弦就盈又常也考工記弓人恆由此作竝去聲又胡登切卦名水名	?		
恒	恆	502	ɦə̏ŋ	꜁ㄏㄥ	常也山名又州也又姓	?		
恥	耻	695	tʃʰî	꜂ㄔㄧ	慙也辱也	10506	shame; ashamed	慙也敕里切三
悍		866	ɦɑ̌n'	ㄏㄢ'꜅	悍急強很又翰韻	?		
惰		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	怠也不恭也亦作媠墯撱又箇韻	?		
惰		1646	d(w)ɔ̌	ㄉㄛ꜅	杜臥切怠也不㳟也亦作媠憜墯	18627		惰懈也徒臥切四
愴		1701	ʈʂʰwɑ̌ŋ	ㄔㄨㄤ꜄	悽愴又陽韻	18908		悽愴
愿	願	1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	謹也慤也善也書愿而恭注慤愿而恭恪亦作原	17349		敬也善也謹也
憜		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	漢韋元成傳戒供事靡憜又箇韻	?		
憜		1646	d(w)ɔ̌	ㄉㄛ꜅	韋元成詩戒供事靡憜又哿韻	?		
懘		695	tʃʰî	꜂ㄔㄧ	惉懘音不和又寘韻	?		
懥	懫	1260	tʃɨ̌	ㄓ꜄	大學心有所忿懥則不得其正	14925		[懥/懥]怒也
懫	懥	1260	tʃɨ̌	ㄓ꜄	忿也恨也怒也止也亦作懥	14925		[懥/懥]怒也
戉	鉞	2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	司馬法夏執玄戉商執白戚周左杖黄戉說文戉越也从音厥象形	21464	a kind of axe	說文曰大斧也司馬法曰夏執𤣥戊殷執白戚周左杖黃戊又作鉞
戺		700	ʂʱɨ̌'	ㄕ'꜅	爾雅本作𢨪落時謂之𢨪一曰砌	?		
扡		1656	tʰ(w)ɔ̌	ㄊㄛ꜄	引也亦作拕論語加朝服扡紳又歌韻	?		
抴		1275	jǐj	ㄧ꜄	同上(拽)俗作⿰扌丗又屑韻	16337		數也
拕	拖	1656	tʰ(w)ɔ̌	ㄊㄛ꜄	漢龔勝傳加朝服拕紳又歌韻	?		
拖	拕	1656	tʰ(w)ɔ̌	ㄊㄛ꜄	牽車也曳也相如賦拖蜺旌又歌哿韻	?		
拸		695	tʃʰî	꜂ㄔㄧ	拍也莊子介者拸也亦作搋又拽也	?		
拽		1275	jǐj	ㄧ꜄	又屑韻	?		
挅	挆	1015	t(w)ɔ̂	꜂ㄉㄛ		12994		稱量
挫	繲	1652	dz(w)ɔ̌	ㆡㄛ꜅	又祖臥切槯也	?		
捶	搥箠	1015	t(w)ɔ̂	꜂ㄉㄛ	莊子犬馬之捶鉤者注玷捶鉤之輕重玷音㸃捶音朶又賄韻	?		
揣		1015	t(w)ɔ̂	꜂ㄉㄛ	度高曰揣又凡稱量忖度皆曰揣亦作挅又寒賄二韻	12999		摇也又初委切
揯	搄	1782	kə̌ŋ	ㄍㄥ꜄	急引又古登切	19257		急引又古登切
[揲/楪]		2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	度楪	24843		度揲
援		1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	救助也接也引也取也畔援者跋扈也詩無然畔援又先翰韻	18016		接援救助也亦姓
搋	弌	695	tʃʰî	꜂ㄔㄧ	同上(拸)拆也拽也	?		
摧		1652	dz(w)ɔ̌	ㆡㄛ꜅	與莝同詩摧之秣之又灰韻	?		
摯		1260	tʃɨ̌	ㄓ꜄	握持又姓又與贄同周禮以玉作六摯禮記凡摯天子鬯諸侯圭又與鷙同禮記前有摯獸則載貔貅詩傳云雎鳩摯而有别情意深至	14919	seize	國名亦持也又姓左傳周禮▼禮字當删▲有摯荒
撱		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	爾雅法撱狹長也史記平準書復小撱之又掠也亦作墮	?		
擖		2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	箕舌禮記少儀執箕膺擖	?		
擪		2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	持也按也	?		
攭		1017	l(w)ɔ̂	꜂ㄌㄛ	無毛羽貌與倮同荀子蠶賦攭攭兮其狀屢化如神	?		
旱		866	ɦɑ̌n'	ㄏㄢ'꜅	侯罕切亢陽不雨又山也詩旱麓又翰韻	11847	dry, drought	不雨胡笴切五
曄	曅	2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	光曜亦作曅又緝韻	24982		光也筠輒切又爲立切七
曅	曄	2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	宋范曅作後漢書又緝韻	24983		上同「曄」(光也筠輒切又爲立切七)
曨		4	lyȕŋ	꜁ㄌㄩㄨㆭ	日出貌又曈曨曰欲明貌又董韻	?		
曰		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	同上(粤)又語也謂也稱也篆文作今作曰上有闕與日字不同	21469	say	辝也於也之也
曳	曵	1275	jǐj	ㄧ꜄	以制切曳曳徐也引也亦作拽抴又屑韻从申从丿丿音曳至也監本上有點誤	16317		牽也引也餘制切二十九
月		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	魚厥切太隂之精其冕象蟾兔海蚌食其光而生珠因名曰明月古作象形今作月上有闕中二畫連左不連右與月月三字不同	21436	moon, month	范子計然云月者尺也者紀度而成數也王子年拾遺録曰水精爲月魚厥切十一
朧		4	lyȕŋ	꜁ㄌㄩㄨㆭ	月出又朣朧月欲明貌	?		
朶	朵	1015	t(w)ɔ̂	꜂ㄉㄛ	都火切木垂朶又花朶杜甫詩白花簷外朶又張頤貌易觀我朶頤釋文云動也京房易作揣	12997		上同「朵」(木上垂也)
杝	柂	695	tʃʰî	꜂ㄔㄧ	析木觀其理詩析薪杝矣	?		
松	枩枀	20	syuŋ	ㄙㄩㄨㆭ	息中切木名江名說文亦作㮤	?		
果	菓	1017	l(w)ɔ̂	꜂ㄌㄛ	周禮龜人東龜曰果屬	?		
枻		1275	jǐj	ㄧ꜄	楫也亦作栧又屑韻	16325		檝枻
栧		1275	jǐj	ㄧ꜄		?		
栺		1274	(ŋ)ǐ	ㄫㄧ꜅	枍栺木名漢有枍栺宫西都賦洞枍栺以與天梁	16030		枍栺殿名
梲	棳	1408	jǔi	ㄨㄟ꜄	說文杖也禰衡傳持三尺梲杖接地大罵	?		
楪		2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ		24842		楪榆縣名在雲中
榞		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ		4277		實如甘蕉而皮可食
槸		1274	(ŋ)ǐ	ㄫㄧ꜅	木枝相磨	16357		樹枝相摩
樾		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	木隂	21467		樹隂
橢	楕	1016	tʰ(w)ɔ̂	꜂ㄊㄛ	器圓而大説文車笭中器从隨誤	13039	oval	器之狹長
櫳	㰍	4	lyȕŋ	꜁ㄌㄩㄨㆭ	養獸檻也牢也	?		
毅		1274	(ŋ)ǐ	ㄫㄧ꜅	剛毅有立也左傳致果為毅	15467	bold	果敢也魚旣切七
汋		2092	ɖʐwɒ̏ʔ(k)	ㄓㄨㄛ꜇ㆶ	爾雅井一有水一無水曰瀱汋	20731		說文曰激水聲也一曰井十有水一無水爲瀱汋
沅		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	水出蜀郡由牂牁東北過臨沅縣至長沙入洞庭湖今以名州又銑韻	4269		水名[在象郡鐔淫城西/在武陵郡鐔成西]亦云在⿰片羊⿰片可
沅		942	(ŋ)jyuɛ̂n	꜂ㄩㄢ	水名又羌韻	?		
泄	洩渫	1275	jǐj	ㄧ꜄	同上(洩)泄泄多人貌無然泄泄孟子曰泄泄猶沓沓也俗作泄又屑韻	16321	leak, ooze	水名在九江又音薛
洩	渫泄	1275	jǐj	ㄧ꜄	洩洩舒散貌又屑韻	16322		上同「泄」(水名在九江又音薛)
浞		2092	ɖʐwɒ̏ʔ(k)	ㄓㄨㄛ꜇ㆶ	食角切濡濕又寒浞人名	20723		水濕士角切十二
淞		20	syuŋ	ㄙㄩㄨㆭ	江名	638		水名在吳又音松
源	厵	332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	水之本亦作原孟子原泉混混漢成紀四海淵源	4265	spring, source	水原曰源又姓禿髮傉[擅/檀]之子賀入後魏魏太武謂之曰與郷同源可爲源氏說文本作[厵/𠫐]篆文省作原後人加水[厵/𠫐]
瀧		4	lyȕŋ	꜁ㄌㄩㄨㆭ	瀧涷沾漬說文雨瀧瀧又陽韻	?		
灂		2092	ɖʐwɒ̏ʔ(k)	ㄓㄨㄛ꜇ㆶ	瀺灂水小聲	20726		瀺灂
熭		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	火乾又曝也爇也見廣韻又見隊韻	21473		暴乾
熾		1263	tʃʰɨ̌	ㄔ꜄	昌志切説文火盛也从火戠聲或作説文古作	15346	blaze	盛也昌志切八
犴	豻	238	ŋɑ̏n	꜁ㄫㄢ	同上(豻)又翰韻	4606		上同「豻」(胡地野狗似狐而小或作犴俄寒切又音岸四)
犴	豻	1488	ŋɑ̌n	ㄫㄢ꜅	同上(豻)玉篇狴犴獸名又獄也揚子狴犴使人多禮乎本作𨻼岸古人假借用又寒韻	17553		獄也又五干切
狘		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	獸名又驚走貌禮運麟以為畜故畜不狘	?		
猒		2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	又鹽豔韻	?		
獅		38	ʂɨ	ㄕ	爾雅狻猊也日走五百里亦作師子漢西域傳烏弋國出師子孟康曰師子似虎止黄有𩓿耏尾端茸毛大如斗又犬生二子曰獅故字从犬	?		
瑗		1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	大孔璧又人名蘧瑗字伯玉	18015		玉名王眷切又于願切五
瑣		1013	s(w)ɔ̂	꜂ㄙㄛ	玉聲又玉屑又細也小也瑣瑣繁碎猥屑貌易旅瑣瑣荀子為姦細之行曰瑣亦作璅又青瑣孟康曰以青畫户邊鏤中天子制也顔師古曰孟説是刻為連瑣文而青塗也漢制給事黄門之職日暮入對青瑣門拜名曰夕郎官闕簿曰青瑣門在南宫毛晃曰漢官除青瑣門外其他門有青塗連瑣者皆謂之青瑣王根驕奢僭上赤墀青瑣晉賈誼傳作青璅又凡物刻鏤罥結交加為連瑣文者皆曰瑣非特門鏤也吳都賦畢罕瑣結是也从巛誤	13008	chain	靑瑣漢舊儀曰黃門令日暮入對靑瑣丹墀拜名曰夕郎又瑣小皃
璅		1013	s(w)ɔ̂	꜂ㄙㄛ	晉習鑿齒傳璅璅常流離騷欲少畱此靈璅兮注靈以喻君璅門鏤也又巧韻	?		
瓏		4	lyȕŋ	꜁ㄌㄩㄨㆭ	玲瓏玉聲一曰明貌	?		
甈		1274	(ŋ)ǐ	ㄫㄧ꜅	破也揚子剛則甈	16033		破罌
疐		1260	tʃɨ̌	ㄓ꜄	礙不行又頓也跲也亦作𨆫又霽韻	?		
痣		1260	tʃɨ̌	ㄓ꜄		15251		黒子
睨		1274	(ŋ)ǐ	ㄫㄧ꜅	睥睨衺視	16029		睥睨
睿	叡	1408	jǔi	ㄨㄟ꜄		16223		上同「叡」(聖也)
矸		1488	ŋɑ̌n	ㄫㄢ꜅	山石貌甯戚謌曰南山矸白石闌廣韻古案切石淨侯旰切磓也二音罕用故不收入	?		
砢		1017	l(w)ɔ̂	꜂ㄌㄛ	磊砢衆石貌从石可聲相如賦水石磊砢又閜砢相扶持貌相如賦抗衡閜砢	?		
磋		1652	dz(w)ɔ̌	ㆡㄛ꜅	磨治又歌韻	?		
礩		1260	tʃɨ̌	ㄓ꜄	柱礎又質韻	14922		柱下石又音質
礱	𤮨	4	lyȕŋ	꜁ㄌㄩㄨㆭ	磨也又送韻	?		
祉		695	tʃʰî	꜂ㄔㄧ	福也祿也	10507	blessings	福也禄也
[笫/⿱𥫗𪩲]		1260	tʃɨ̌	ㄓ꜄	牀簀也从竹从又紙韻	?		
篩	簁簛	38	ʂɨ	ㄕ	竹器亦作簁籭又竹名一名太極又皆韻	?		
簁	篩簛	38	ʂɨ	ㄕ	同上(籭)亦作篩又皆薺二韻	?		
籗		2092	ɖʐwɒ̏ʔ(k)	ㄓㄨㄛ꜇ㆶ	取魚罩从竹从霍監本从寉誤	?		
籠	篭	4	lyȕŋ	꜁ㄌㄩㄨㆭ	舉土器一曰養鳥籠又籦籠竹名又東籠與涷瀧同沾濕貌又董韻	447		𥳎籠竹車軬亦籦籠竹又力東力董二切
籭		38	ʂɨ	ㄕ	下物竹器亦作簁又霜夷切音雖微異而義同不可重押故於篩字下注云亦作籭簁字下亦作篩	?		
粤	粵	2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	說文于也於也審察之詞也通作曰案史記稱堯舜禹皆云粤若稽古孔氏尚書作曰若稽古說者以曰為史氏之言以史記考之是謂越同如書越若來是也史漢越皆作粤劉安世曰自昔在帝堯至作堯典孔子序文也堯典二字古篇目也曰若發語辭也曰與粤同	21463		辝也于也
糦		1263	tʃʰɨ̌	ㄔ꜄		15349		大祭亦稷也說文同上「饎」(方言云熟食也說文云酒食也)
絚	緪縆	1782	kə̌ŋ	ㄍㄥ꜄	急張也盡也又庚韻从亘誤	19258		急張亦作絙
綏		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	禮記國君綏視注彌髙曰綏又曰執天子之器則上衡國君則平衡大夫則綏之注上衡山於心綏謂下於心則又為小俯之義又灰韻	?		
