# 洪武正韻譯訓字表
# v20200322
# Compiled by hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# Trailing ' denotes 全濁上聲 syllables pronounced as 去聲.
# Modern vocalization (e. g. that found in theatry and Southwest Mandarin) may
#   palatalize or frictivize /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ /y/,
#   merge syllable codae -p -t -k to [ʔ],
#   drop breathiness in /ʂʱ/ /ʃʱ/ /sʱ/ /fʱ/ /ɦ/, and
#   merge /iaw/ and /iɛw/.
# Credits:
#   The gloss is adapted from digitalized text of 洪武正韻 in Kanseki Repository.
#   Digitalization and transliteration of 洪武正韻譯訓 syllabary is done by hhliow (github.com/hhliow).
# Reference:
#   成元慶 洪武正韻譯訓音研究
#   高田時雄 明末官話調值小考
char	譯訓	ipa	gloss
朧	*류ᇰ俗*루ᇰ	luŋ˩	月出又朣朧月欲明貌
襱	*류ᇰ俗*루ᇰ	luŋ˩	袴也
豅	*류ᇰ俗*루ᇰ	luŋ˩	大谷
瓏	*류ᇰ俗*루ᇰ	luŋ˩	玲瓏玉聲一曰明貌
礱	*류ᇰ俗*루ᇰ	luŋ˩	磨也又送韻
龐	*류ᇰ俗*루ᇰ	luŋ˩	充實也詩四牡龐龐又陽韻
蘢	*류ᇰ俗*루ᇰ	l(y)uŋ˩	蘢古草名又蒙蘢蔽覆貌漢鼂錯傳屮木蒙蘢又盧紅切
谾	*류ᇰ俗*루ᇰ	luŋ˩	山深貌相如賦深山谾谾
瀧	*류ᇰ俗*루ᇰ	luŋ˩	瀧涷沾漬說文雨瀧瀧又陽韻
𩟭	*류ᇰ俗*루ᇰ	luŋ˩	𩟭餅
隆	*류ᇰ	lyuŋ˩	良中切盛也豐也大也穹隆豐隆玉篇云高也說文作隆
癃	*류ᇰ	lyuŋ˩	病也老也罷病也亦作𤸇
𪔳	*류ᇰ	lyuŋ˩	鼓聲又盧宗切
窿	*류ᇰ	lyuŋ˩	穹窿天勢本作隆
霳	*류ᇰ	lyuŋ˩	靊霳雨師本作豐隆楚辭淮南子相如賦皆作豐隆
䃧	*류ᇰ	lyuŋ˩	䃔䃧石聲又音盧宗切
蓬	*뿌ᇰ	pʱuŋ˩	蒲紅切草名山名又盛貌詩其葉蓬蓬凡从艸者今作
芃	*뿌ᇰ	pʱuŋ˩	草盛貌
篷	*뿌ᇰ	pʱuŋ˩	編竹覆舟車
韸	*뿌ᇰ	pʱuŋ˩	韸韸鼓聲見埤蒼亦作逢
逢	*뿌ᇰ	pʱuŋ˩	詩鼉鼔逢逢又見下及陽韻
髼	*뿌ᇰ	pʱuŋ˩	髼鬆亂髪
菶	*뿌ᇰ	pʱuŋ˩	菶菶茂貌又董韻
塳	*뿌ᇰ	pʱuŋ˩	塵也塵隨風起
蒙	*무ᇰ	muŋ˩	莫紅切覆也奄也冒也又姓草名卦名山名又承也又爾雅太歳在乙曰旃蒙又欺也左傳昭元年又使圍蒙其先君又逢蒙人名荀子作蠭門又陽韻
冡	*무ᇰ	muŋ˩	覆也冒也通作蒙
幪	*무ᇰ	muŋ˩	覆也盖衣也亦作𢄐又董韻
𢄐	*무ᇰ	muŋ˩	同上又送韻
髳	*무ᇰ	muŋ˩	草木叢茸貌爾雅覭髳茀離也郭璞謂草木之蒙茸翳薈也又尤韻
濛	*무ᇰ	muŋ˩	空濛細雨又董韻
雺	*무ᇰ	muŋ˩	爾雅天氣下地不應曰雺亦作霿又尤送宥三韻
霿	*무ᇰ	muŋ˩	同上又送宥二韻
曚	*무ᇰ	muŋ˩	日未明又董韻
朦	*무ᇰ	muŋ˩	月將入也
䑃	*무ᇰ	muŋ˩	大也揚雄方言自關而西凡大貌謂之朦
艨	*무ᇰ	muŋ˩	舟名又送韻
矇	*무ᇰ	muŋ˩	目有童子而無見禮記昭然若發矇矣
饛	*무ᇰ	muŋ˩	盛器滿貌詩有饛簋飱
罞	*무ᇰ	muŋ˩	爾雅麋罟謂之罞郭璞曰冒其頭也又爻韻
懵	*무ᇰ	muŋ˩	懵懵無知貌又董送敬三韻
夢	*무ᇰ	muŋ˩	爾雅夢夢亂也詩視天夢夢夀夢吳子名雲夢澤名周禮作雲瞢又庚送二韻髙帝偽遊雲夢韋昭曰在南郡華容師古曰讀如本字又莫紅切
瞢	*무ᇰ	muŋ˩	雲瞢澤名職方氏音忙貢切案左傳漢書夢字有二音則瞢字亦宜通用又目不明也又庚送敬三韻
懜	*무ᇰ	muŋ˩	慙也國語君使臣懜又惛也又送敬二韻上从𦫳音寡作誤
悤	*ᅔᅮᇰ	tsʰuŋ	倉紅切遽也从囱从心俗作忩怱
囱	*ᅔᅮᇰ	tsʰuŋ	竈突見廣韻俗借為悤遽字作匆凡従囱者皆然又陽韻
忩	*ᅔᅮᇰ	tsʰuŋ	王愔文志忩忩不暇草書晉衛恒傳張伯英忩忩不暇書
蔥	*ᅔᅮᇰ	tsʰuŋ	淺青色又葷菜漢書氣佳哉鬱鬱蔥蔥然
䡯	*ᅔᅮᇰ	tsʰuŋ	載囚車又董韻
聰	*ᅔᅮᇰ	tsʰuŋ	能聽耳力也耳徹也漢書作聰俗作聦
𢊕	*ᅔᅮᇰ	tsʰuŋ	屋階中㑹又董韻
璁	*ᅔᅮᇰ	tsʰuŋ	石似玉
驄	*ᅔᅮᇰ	tsʰuŋ	馬靑白色
樅	*ᅔᅮᇰ	tsʰuŋ	崇牙也詩虡業維樅注隆起貌又木名爾雅樅松葉柏身尸子松柏之鼠不知堂密之有美樅說文柏葉松身又見下
鏦	*ᅔᅮᇰ	tsʰuŋ	矛屬史記欲鏦加以矛方言㦸謂之鏦又陽韻
從	*ᅔᅮᇰ	tsʰuŋ	從容舒緩貌書從容以和又陽董送三韻
蓯	*ᅔᅮᇰ	tsʰuŋ	本草蓯蓉藥名又蘢蓯花名又董韻
宗	*ᅎᅮᇰ	tsuŋ	祖冬切尊也衆也本也又姓漢書注顔師古曰祖始也始受命也宗尊也有徳可宗也又流派所出為宗古有大宗小宗又法也論語亦可宗也又繼也主也
㚇	*ᅎᅮᇰ	tsuŋ	同上切鳥飛斂足亦作翪又送韻
翪	*ᅎᅮᇰ	tsuŋ	同上又鳥飛竦翼又董送二韻
騣	*ᅎᅮᇰ	tsuŋ	馬鬛
鬉	*ᅎᅮᇰ	tsuŋ	髪亂
豵	*ᅎᅮᇰ	tsuŋ	六月豚爾雅豕生三曰豵又周禮夏官注一嵗為豵
猣	*ᅎᅮᇰ	tsuŋ	犬生三子
椶	*ᅎᅮᇰ	tsuŋ	木名
稯	*ᅎᅮᇰ	tsuŋ	布八十縷又十筥曰稯又董韻
緵	*ᅎᅮᇰ	tsuŋ	江南呼緵罟為百囊網詩九罭傳緵罟小魚網也又送韻
總	*ᅎᅮᇰ	tsuŋ	絲數亦作摠又與緵同又見董送二韻
摠	*ᅎᅮᇰ	tsuŋ	同上又董送二韻
嵏	*ᅎᅮᇰ	tsuŋ	九嵏山名又峯聚之山曰嵏校獵賦虎路三嵏晉灼曰路音落服䖍曰以竹虎落此山也師古曰三嵏三峯聚之山也
嵸	*ᅎᅮᇰ	tsuŋ	巃嵸山貌又董韻
𨍈	*ᅎᅮᇰ	tsuŋ	車輪
鬷	*ᅎᅮᇰ	tsuŋ	釜屬又數也詩越以鬷邁又姓左傳鄭大夫鬷明又董韻从鬲俗作鬷
艐	*ᅎᅮᇰ	tsuŋ	船著沙不行又三艐國名又泰韻
朡	*ᅎᅮᇰ	tsuŋ	同上書遂伐三朡又泰韻
葼	*ᅎᅮᇰ	tsuŋ	細枝也
縱	*ᅎᅲᇰ	tsyuŋ	將容切直也亦作從又董送二韻
蹤	*ᅎᅲᇰ	tsyuŋ	跡也揚雄賦躡三皇之髙蹤亦作從詩羔羊注行可從迹音與蹤同
樅	*ᅎᅲᇰ	tsyuŋ	木名見上
叢	*ᅏᅮᇰ	tsʱuŋ˩	徂紅切聚也从丵从取丵音浞草叢生貌上从四直畫兩長兩短誤从丱
樷	*ᅏᅮᇰ	tsʱuŋ˩	東方朔傳樷珍怪師古曰古叢字
䕺	*ᅏᅮᇰ	tsʱuŋ˩	草䕺生貌亦作藂誤从丱
藂	*ᅏᅮᇰ	tsʱuŋ˩	同上詩葛覃注灌木曰藂音叢後人誤作菆音子外切或本作蕞顔之推曰二音二字皆非也
𥵫	*ᅏᅮᇰ	tsʱuŋ˩	取魚器
潨	*ᅏᅮᇰ	tsʱuŋ˩	水㑹又小水入大水又之中切小水入大水又詩鳧鷖在潨鄭箋水外之髙者
賨	*ᅏᅮᇰ	tsʱuŋ˩	戎稅說文南蠻賦也又云𢄐南郡蠻人賨布也魏晉時邊郡夷人輸布户一匹謂之賨
悰	*ᅏᅮᇰ	tsʱuŋ˩	樂也慮也
琮	*ᅏᅮᇰ	tsʱuŋ˩	瑞玉八寸形似車釭周禮以黄琮禮地鄭氏注琮八方象地之形
慒	*ᅏᅮᇰ	tsʱuŋ˩	慮也又尤韻
淙	*ᅏᅮᇰ	tsʱuŋ˩	水聲又陽漾韻
訟	*ᅏᅮᇰ	tsʱuŋ˩	爭獄見廣韻一曰爭罪曰獄爭財曰訟又送韻案詩何以速我訟有兩音易訟卦音去聲易注云反爭也言之於公也然則訟字从言从公盖㑹意也且諧公字聲則本是平聲是以詩協從字韻易獨音去聲未為允當合依詩音於二韻通用
從	*ᅏᅲᇰ	tsʱyuŋ˩	牆容切就也順也言順曰從亦作从
洪	*ᅘᅮᇰ	ɦuŋ˩	胡公切大也亦姓共工氏之後本姓共後改為洪方言石阻河流為洪
洚	*ᅘᅮᇰ	ɦuŋ˩	水不遵道又陽送漾韻
紅	*ᅘᅮᇰ	ɦuŋ˩	淺赤色又姓古洪切女工也盖本音工今假借為靑紅字
葒	*ᅘᅮᇰ	ɦuŋ˩	水草馬蓼也一曰蘢古草
䜫	*ᅘᅮᇰ	ɦuŋ˩	大壑
谼	*ᅘᅮᇰ	ɦuŋ˩	大壑莊孔子觀呂梁縣水三十仞流沫四十里今謂吕梁谼陳詩快瀉雙石谼在此
鴻	*ᅘᅮᇰ	ɦuŋ˩	大曰鴻小曰鴈又大也又董韻
虹	*ᅘᅮᇰ	ɦuŋ˩	螮蝀漢志作𧈫詩實虹小子與訌同又陽漾送韻
訌	*ᅘᅮᇰ	ɦuŋ˩	䜋也亂也詩蟊賊内訌又陽韻
渱	*ᅘᅮᇰ	ɦuŋ˩	潰渱水沸湧也
鉷	*ᅘᅮᇰ	ɦuŋ˩	弩牙又唐有王鉷
䃔	*ᅘᅮᇰ	ɦuŋ˩	石隕聲
𩘎	*ᅘᅮᇰ	ɦuŋ˩	大風
烘	*후ᇰ	huŋ	呼洪切烘燎火乾也又送韻
空	*쿠ᇰ	kʰuŋ	苦紅切虚也又董送二韻
悾	*쿠ᇰ	kʰuŋ	信也包咸曰慤也又陽送二韻
𢃐	*쿠ᇰ	kʰuŋ	衣裌
椌	*쿠ᇰ	kʰuŋ	器物朴又陽韻
倥	*쿠ᇰ	kʰuŋ	無知揚子倥侗顓蒙又董送二韻
箜	*쿠ᇰ	kʰuŋ	箜篌樂器
崆	*쿠ᇰ	kʰuŋ	崆峒山見峒字下
𦱇	*쿠ᇰ	kʰuŋ	𦱇心草
公	*구ᇰ	kuŋ	古紅切說文从八从厶八背意也厶即私字韓非曰自營為厶背厶為公公有三公之公有五等之公有公私之公有公家之公有家公之公列子曰家公執席謂家長也凡相呼尊稱亦曰公賈誼曰此六七公又婦謂舅亦曰公賈誼曰與公併倨侯昱候王丹曰家公欲與君結交則子謂父亦曰家公方言凡尊老周晉秦隴謂之公又大事曰公詩王公伊濯又與功同詩以奏膚公又姓晉有成公綏又諸容切爾雅婦謂夫之兄為兄公
功	*구ᇰ	kuŋ	說文以勞定國曰功禮喪有大功小功謂之功者謂治布之功有精粗也本作紅
紅	*구ᇰ	kuŋ	女工紡績織紝功力之謂也史記漢書大紅小紅董仲舒策又奪園夫紅女利虖景帝紀錦繡纂組害女紅哀紀害女紅之物
工	*구ᇰ	kuŋ	官也事任也善巧也匠也功力也
攻	*구ᇰ	kuŋ	治也擊也作也伐也又姑宗切習也毛曰二韻通用凡字同義同而有兩音通用者不問經史有音無音皆可通押其有一類者亦合准此用之今此字併入一韻一音後更不重出
㓚	*구ᇰ	kuŋ	銍刈
釭	*구ᇰ	kuŋ	車轂中鐵又燈也又陽韻
玒	*구ᇰ	kuŋ	玉名又陽韻
蚣	*구ᇰ	kuŋ	蜈蚣又職容切蚣蝑蟲名
翁	*ᅙᅮᇰ	ʔuŋ	烏紅切老稱方言周晉秦隴謂父曰翁顔師古曰翁猶父也漢髙祖答項羽曰吾翁即若翁又鳥頸毛又姓俗作翁又董韻
𩔚	*ᅙᅮᇰ	ʔuŋ	頸毛本作翁爾雅鳧翁後人加頁頁音頡下从人與貝字不同
蓊	*ᅙᅮᇰ	ʔuŋ	蓊鬱草木盛貌又董韻
螉	*ᅙᅮᇰ	ʔuŋ	蠮螉細腰蜂
風	*ᄫᅮᇰ	fuŋ	方中切天地之使也大塊之噫氣王者之聲教也佚也告也又姓太昊之後又扶風郡名又屏風形如扆又送韻
飌	*ᄫᅮᇰ	fuŋ	同上周禮飌師
楓	*ᄫᅮᇰ	fuŋ	木名脂香景福殿槐楓被宸又山海經其脂入地千年為虎魄
豐	*ᄫᅮᇰ	fuŋ	大也多也盛也登也又姓又酒器地名卦名
酆	*ᄫᅮᇰ	fuŋ	地名國名左傳畢源酆邭又曰康有酆宫之朝杜預曰在始平鄠縣東說文酆文王所都書作豐偏旁从邑今皆作阝
灃	*ᄫᅮᇰ	fuŋ	水出扶風
蘴	*ᄫᅮᇰ	fuŋ	蕪菁苗也
麷	*ᄫᅮᇰ	fuŋ	熬麥周禮麷蕡荀子取其將若發麷又送韻
丰	*ᄫᅮᇰ	fuŋ	滿也詩子之丰兮毛傳丰之為言面貌豐滿也又丰茸美好貌方言作妦篆文作今作丰凡豐夆邦从丰與丯字不同丯从彡从丨音害說文相遮要害也凡耕耒憲害皆从丯監本作丰誤
夆	*ᄫᅮᇰ	fuŋ	啎也爾雅曳也注謂牽挽
鋒	*ᄫᅮᇰ	fuŋ	刀劍芒荀子甞試之說鋒起注如鋒刀齊起銳而難犯也亦作鏠
鏠	*ᄫᅮᇰ	fuŋ	漢東方朔傳變詐鏠出郊祀志泰一鏠旗
烽	*ᄫᅮᇰ	fuŋ	烽燧漢書注文穎曰邊方備㓂作高土櫓櫓上作桔臯桔臯頭兠零以薪草置其中常低之有㓂即火燃舉之以相告曰烽又多積薪寇至即燃之以望其煙曰燧顔師古曰晝則燔㸂夜則舉烽亦作㷭逢
㷭	*ᄫᅮᇰ	fuŋ	同上相如游獵賦起㷭㷭
逢	*ᄫᅮᇰ	fuŋ	相如封禪書大漢之徳逢涌原泉師古曰逢讀曰㷭言如㷭火之升又見下及陽韻
峯	*ᄫᅮᇰ	fuŋ	山峯亦作峰
蠭	*ᄫᅮᇰ	fuŋ	說文螫人飛蟲左傳蠭蠆有毒亦作蜂𧒒又與鋒同趙廣漢傳彊壯蠭氣
蜂	*ᄫᅮᇰ	fuŋ	詩莫予荓蜂
𧒒	*ᄫᅮᇰ	fuŋ	漢中山靖王傳讒言之徒𧒒生師古曰𧒒生言衆多也一曰與蜂同
桻	*ᄫᅮᇰ	fuŋ	木未
封	*ᄫᅮᇰ	fuŋ	大也厚也又姓又聚土也垤也培也封建也國名古作說文艸木妄生也大戴禮五十里為封又牛名漢西域傳罽賔國出封牛大月氏國出一封橐駝師古曰脊上有一封也封言其隆髙若封土也今俗呼為封牛又緘也又送豔二韻
葑	*ᄫᅮᇰ	fuŋ	菜名詩采葑采菲注蔓菁也又送韻
犎	*ᄫᅮᇰ	fuŋ	牛名一曰橐駝漢順帝時疎勒王來獻犎牛及師子亦作封
崶	*ᄫᅮᇰ	fuŋ	山名一名龍門山大魚上化龍
馮	*ᄬᅮᇰ	fʱuŋ˩	符中切姓又庚韻
渢	*ᄬᅮᇰ	fʱuŋ˩	水聲又覃勘二韻
芃	*ᄬᅮᇰ	fʱuŋ˩	草盛貌
汎	*ᄬᅮᇰ	fʱuŋ˩	浮也又勘韻
梵	*ᄬᅮᇰ	fʱuŋ˩	木得風貌又勘韻
逢	*ᄬᅮᇰ	fʱuŋ˩	遇也迎也值也太歳在甲曰閼逢關龍逢或音如逄又見上及陽韻
縫	*ᄬᅮᇰ	fʱuŋ˩	衣㑹也紩也縫掖大衣亦作逢荀子其衣逢又曰逢衣淺帶注逢掖大衣也與縫同又送韻
摓	*ᄬᅮᇰ	fʱuŋ˩	紩也與縫同莊子摓衣淺帶音義云本又作縫
松	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	息中切木名江名說文亦作㮤
淞	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	江名
凇	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	凍也
菘	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	菜名
崧	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	山大而髙通作嵩
𪀚	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	似鷹而小能捕雀
𢤄	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	惺了慧
鬆	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	鬆髪亂貌本韻思容切音雖微異而義不殊又通韻不可雙押故去之又送韻
娀	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	國名有娀氏髙辛妃生契
嵩	*ᄼᅲᇰ俗*ᄼᅮᇰ	s(y)uŋ	山髙也又中嶽詩作崧
充	*ᅕᅲᇰ	tʃʰyuŋ	昌中切美也滿也實之也
㤝	*ᅕᅲᇰ	tʃʰyuŋ	心動
珫	*ᅕᅲᇰ	tʃʰyuŋ	珥玉通作充詩充耳琇瑩
忡	*ᅕᅲᇰ	tʃʰyuŋ	憂也
沖	*ᅕᅲᇰ	tʃʰyuŋ	深也虚也老子太盈若沖書作冲又飛也又持中切
冲	*ᅕᅲᇰ	tʃʰyuŋ	同上又聲詩鑿冰冲冲从冰又持中切
种	*ᅕᅲᇰ	tʃʰyuŋ	稚也又姓亦通作冲又持中切
翀	*ᅕᅲᇰ	tʃʰyuŋ	直上飛通作冲又持中切
茺	*ᅕᅲᇰ	tʃʰyuŋ	茺蔚草也
衝	*ᅕᅲᇰ	tʃʰyuŋ	當也向也突也通道也又與䡴同詩與爾臨衝本作𧘂
𧘂	*ᅕᅲᇰ	tʃʰyuŋ	突也相如賦批巖𧘂擁又戰車後漢伏湛傳引詩作臨𧘂注曰臨臨車𧘂𧘂車
罿	*ᅕᅲᇰ	tʃʰyuŋ	鳥網又見上
憧	*ᅕᅲᇰ	tʃʰyuŋ	不絶貌易憧憧往來又漾韻
䡴	*ᅕᅲᇰ	tʃʰyuŋ	戰車亦作衝衝又漾韻
艟	*ᅕᅲᇰ	tʃʰyuŋ	舟名又見上及漾韻
䂌	*ᅕᅲᇰ	tʃʰyuŋ	矛也
蹱	*ᅕᅲᇰ	tʃʰyuŋ	躘蹱行貌
𨙦	*ᅕᅲᇰ	tʃʰyuŋ	馬不行又御韻
傭	*ᅕᅲᇰ	tʃʰyuŋ	均也直也齊等也詩昊天不傭注均也又見下
中	*ᅐᅲᇰ	tʃyuŋ	陟隆切極也成也宜也堪也任也列子得亦中亡亦中注半也又滿也漢制中二千石謂滿二千石也又中央盖四方之中也又内也又送韻
衷	*ᅐᅲᇰ	tʃyuŋ	方寸所藴也誠也善也正也適也中也裏也折衷斷其中也又送韻
忠	*ᅐᅲᇰ	tʃyuŋ	内盡其心而不欺也
終	*ᅐᅲᇰ	tʃyuŋ	極也窮也死也畢也春秋無終山戎國名
螽	*ᅐᅲᇰ	tʃyuŋ	詩注螽斯蚣蝑也陸璣疏曰蝗類也釋文云一名斯螽蘇轍曰螽斯一生八十一子或曰九十九子子名阜螽又名蠜
衆	*ᅐᅲᇰ	tʃyuŋ	多也又姓从目从乑三人為乑乑音吟衆立貌又送韻
𩅧	*ᅐᅲᇰ	tʃyuŋ	乆隂小雨
鍾	*ᅐᅲᇰ	tʃyuŋ	說文當也又酒器又量名左傳釜十則鍾六斛四斗曰鍾小爾雅二缶謂之鍾注八斛也亦作鐘漢書榖糴千鍾又姓又聚也左氏傳天鍾美於是晉書情之所鍾又龍鍾老病貌
鐘	*ᅐᅲᇰ	tʃyuŋ	說文樂器漢志金曰鐘又律名漢志黄鐘鐘種也周禮皆作鍾詩鍾鼔亦作鐘古字通用義異者自可分押
忪	*ᅐᅲᇰ	tʃyuŋ	心動也驚也惶遽也
彸	*ᅐᅲᇰ	tʃyuŋ	征彸遽行
橦	*ᅐᅲᇰ	tʃyuŋ	字㨾云本音同今借為木橦字又陽韻
戎	*ᅀᅲᇰ	ʒyuŋ˩	而中切兵也助也又姓又西夷名爾雅相也郭璞曰佐助也詩烝也無戎又纘戎祖考念兹戎功毛傳大也鄭箋戎猶汝也方言宋魯陳衛之間謂大曰戎又庚韻
茙	*ᅀᅲᇰ	ʒyuŋ˩	茙茙厚貌又茙葵爾雅菺茙葵
襛	*ᅀᅲᇰ	ʒyuŋ˩	衣厚詩何彼禯矣韓詩作茙又音農
駥	*ᅀᅲᇰ	ʒyuŋ˩	馬八尺
狨	*ᅀᅲᇰ	ʒyuŋ˩	禺屬毛可為布
𢫨	*ᅀᅲᇰ	ʒyuŋ˩	相助也通作戎又董韻
絨	*ᅀᅲᇰ	ʒyuŋ˩	細布
茸	*ᅀᅲᇰ	ʒyuŋ˩	草生貌又董韻
