CEDICT with Classical Mandarin pronunciation (中州音)		
v20200702		
Trascription curated by Hien-haw Liow		
License: cc-by-sa 3.0		
character	pronunciation	gloss
䕭	tsʱiɛm˩	/a kind of vegetable/
䖸	ŋɔ˩	/variant of 蛾/
䗥	tsʰuŋ	/see 螉䗥/
䗪	tʃiɛ˨˦	/Chinese ground beetle (Eupolyphaga sinensis)/
䞓	tʃʰiŋ	/old variant of 赬|赪/
䟆	piʔᵗ	/old variant of 蹕|跸/
䠞	tsyuʔᵏ	/variant of 蹙/
䠶	ʃʱiɛ˨˦	/old variant of 射/
䤈	hi	/old variant of 醯/
䩦	tʱiɛw˩	/variant of 鞗/
䰟	ɦun˩	/old variant of 魂/
䲔	kʱiŋ˩	/old variant of 鯨|鲸/
䳘	ŋɔ˩	/variant of 鵝|鹅/
䴸	fu	/variant of 麩|麸/
䵹	tʃi	/old variant of 蜘/
一	ʔiʔᵗ	/one/1/single/a (article)/as soon as/entire/whole/all/throughout/"one" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit/
一一	ʔiʔᵗ ʔiʔᵗ	/one by one/one after another/
一一對應	ʔiʔᵗ ʔiʔᵗ tui˨˦ ʔiŋ˨˦	/one-to-one correspondence/
一一映射	ʔiʔᵗ ʔiʔᵗ ʔiŋ˨˦ ʃʱiɛ˨˦	/bijective map (i.e. map between sets in math. that is one-to-one and onto)/one-to-one correspondence/
一丁不識	ʔiʔᵗ tiŋ puʔᵗ ʃiʔᵏ	/illiterate/ignorant/
一丁點	ʔiʔᵗ tiŋ tiɛm˥˧	/a tiny bit/a wee bit/
一下	ʔiʔᵗ ɦia'˨˦	/(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once/
一下兒	ʔiʔᵗ ɦia'˨˦ ɻ˩	/erhua variant of 一下/
一下子	ʔiʔᵗ ɦia'˨˦ tsɨ˥˧	/in a short while/all at once/all of a sudden/
一世	ʔiʔᵗ ʃji˨˦	/generation/period of 30 years/one's whole lifetime/lifelong/age/era/times/the whole world/the First (of numbered European kings)/
一丘之貉	ʔiʔᵗ kʰiw tʃɨ ɦɒʔᵏ˩	/jackals of the same tribe (idiom); fig. They are all just as bad as each other./
一中原則	ʔiʔᵗ tʃyuŋ (ŋ)jyuɛn˩ tsəʔᵏ	/One-China principle, the official doctrine that Taiwan is a province of China/
一乾二淨	ʔiʔᵗ kɑn ɻ˨˦ dziŋ˨˦	/thoroughly (idiom)/completely/one and all/very clean/
一了百了	ʔiʔᵗ liɛw˥˧ pəʔᵏ liɛw˥˧	/once the main problem is solved, all troubles are solved/death ends all one's troubles/
一事無成	ʔiʔᵗ ʂʱɨ˨˦ vu˩ tʃʱiŋ˩	/to have achieved nothing/to be a total failure/to get nowhere/
一二	ʔiʔᵗ ɻ˨˦	/one or two/a few/
一二八事變	ʔiʔᵗ ɻ˨˦ paʔᵗ ʂʱɨ˨˦ piɛn˨˦	/Shanghai Incident of 28th January 1932, Chinese uprising against Japanese quarters of Shanghai/
一五一十	ʔiʔᵗ (ŋ)u˥˧ ʔiʔᵗ ʃʱiʔᵖ˩	/lit. count by fives and tens (idiom); to narrate systematically and in full detail/
一些	ʔiʔᵗ siɛ	/some/a few/a little/(following an adjective) slightly ...er/
一代	ʔiʔᵗ dai˨˦	/generation/
一代不如一代	ʔiʔᵗ dai˨˦ puʔᵗ ʒy˩ ʔiʔᵗ dai˨˦	/to be getting worse with each generation/
一來	ʔiʔᵗ lai˩	/firstly, .../
一來二去	ʔiʔᵗ lai˩ ɻ˨˦ kʰy˨˦	/gradually/little by little/in the course of time/
一個中國政策	ʔiʔᵗ kɔ˨˦ tʃyuŋ kwəʔᵏ tʃiŋ˨˦ ʈʂʰəʔᵏ	/one China policy/
一個人	ʔiʔᵗ kɔ˨˦ ʒin˩	/by oneself (without assistance)/alone (without company)/
一個個	ʔiʔᵗ kɔ˨˦ kɔ˨˦	/each and every one/
一個勁	ʔiʔᵗ kɔ˨˦ kiŋ˨˦	/continuously/persistently/incessantly/
一個勁兒	ʔiʔᵗ kɔ˨˦ kiŋ˨˦ ɻ˩	/erhua variant of 一個勁|一个劲/
一個半	ʔiʔᵗ kɔ˨˦ pwɔn˨˦	/one and a half/
一個巴掌拍不響	ʔiʔᵗ kɔ˨˦ pa tʃiɑŋ˥˧ pʰəʔᵏ puʔᵗ hiɑŋ˥˧	/lit. one palm alone cannot clap (proverb)/fig. it takes two persons to start a dispute/it takes two to tango/it's difficult to achieve anything without support/
一個接一個	ʔiʔᵗ kɔ˨˦ tsiɛʔᵖ ʔiʔᵗ kɔ˨˦	/one by one/one after another/
一個蘿蔔一個坑	ʔiʔᵗ kɔ˨˦ lɔ˩ bəʔᵏ˩ ʔiʔᵗ kɔ˨˦ kʰəŋ	/lit. every turnip to its hole (idiom)/fig. each person has his own position/each to his own/horses for courses/every kettle has its lid/
一側化	ʔiʔᵗ ʈʂəʔᵏ hwa˨˦	/lateralization/
一價	ʔiʔᵗ kia˨˦	/monovalent (chemistry)/
一元	ʔiʔᵗ (ŋ)jyuɛn˩	/single variable (math.)/univariate/
一元化	ʔiʔᵗ (ŋ)jyuɛn˩ hwa˨˦	/integration/integrated/unified/
一元論	ʔiʔᵗ (ŋ)jyuɛn˩ lun˨˦	/monism, belief that the universe is made of a single substance/
一元醇	ʔiʔᵗ (ŋ)jyuɛn˩ ʃʱyun˩	/methyl alcohol CH3OH/
一共	ʔiʔᵗ gyuŋ˨˦	/altogether/
一再	ʔiʔᵗ tsai˨˦	/repeatedly/
一准	ʔiʔᵗ tʃyun˥˧	/certainly/also written 一準|一准/
一刀切	ʔiʔᵗ taw tsʰiɛʔᵗ	/lit. to cut all at one stroke (idiom); to impose uniformity/one solution fits a diversity of problems/one size fits all/
一切	ʔiʔᵗ tsʰi˨˦	/everything/every/all/
一切事物	ʔiʔᵗ tsʰi˨˦ ʂʱɨ˨˦ vuʔᵗ˩	/everything/
一切如舊	ʔiʔᵗ tsʰi˨˦ ʒy˩ giw˨˦	/everything as before/
一切就緒	ʔiʔᵗ tsʰi˨˦ dziw˨˦ sʱy'˨˦	/everything in its place and ready (idiom)/
一切險	ʔiʔᵗ tsʰi˨˦ hiɛm˥˧	/all risks (insurance)/
一刻千金	ʔiʔᵗ kʰəʔᵏ tsʰiɛn kim	/time is gold/every minute counts/
一則	ʔiʔᵗ tsəʔᵏ	/on the one hand/
一動不動	ʔiʔᵗ duŋ'˨˦ puʔᵗ duŋ'˨˦	/motionless/
一勞永逸	ʔiʔᵗ law˩ jyuəŋ˥˧ jiʔᵗ˩	/to get sth done once and for all/
一匙	ʔiʔᵗ ʃʱɨ˩	/spoonful/
一千零一夜	ʔiʔᵗ tsʰiɛn liŋ˩ ʔiʔᵗ jiɛ˨˦	/The Book of One Thousand and One Nights/
一半	ʔiʔᵗ pwɔn˨˦	/half/
一半天	ʔiʔᵗ pwɔn˨˦ tʰiɛn	/in a day or two/soon/
一去不回	ʔiʔᵗ kʰy˨˦ puʔᵗ ɦui˩	/gone forever/
一去無影蹤	ʔiʔᵗ kʰy˨˦ vu˩ ʔiŋ˥˧ tsyuŋ	/gone without a trace/
一反常態	ʔiʔᵗ fan˥˧ ʃʱiɑŋ˩ tʰai˨˦	/complete change from the normal state (idiom); quite uncharacteristic/entirely outside the norm/out of character/
一口	ʔiʔᵗ kʰəw˥˧	/readily/flatly (deny, admit and so on)/a mouthful/a bite/
一口咬定	ʔiʔᵗ kʰəw˥˧ (ŋ)jiaw˥˧ diŋ˨˦	/to arbitrarily assert/to allege/to stick to one's statement/to cling to one's view/
一口氣	ʔiʔᵗ kʰəw˥˧ kʰi˨˦	/one breath/in one breath/at a stretch/
一口氣兒	ʔiʔᵗ kʰəw˥˧ kʰi˨˦ ɻ˩	/erhua variant of 一口氣|一口气/
一古腦兒	ʔiʔᵗ ku˥˧ naw˥˧ ɻ˩	/variant of 一股腦兒|一股脑儿/
一句	ʔiʔᵗ ky˨˦	/a line of verse/a sentence/
一句話	ʔiʔᵗ ky˨˦ ɦwa˨˦	/in a word/in short/
一同	ʔiʔᵗ tʱuŋ˩	/along/together/
一向	ʔiʔᵗ hiɑŋ˨˦	/always (previously)/a period of time in the recent past/
一周	ʔiʔᵗ tʃiw	/one week/all the way around/a whole cycle/
一味	ʔiʔᵗ vi˨˦	/blindly/invariably/
一呼百應	ʔiʔᵗ hu pəʔᵏ ʔiŋ˨˦	/a hundred answers to a single call (idiom)/to respond en masse/
一呼百諾	ʔiʔᵗ hu pəʔᵏ nɒʔᵏ˩	/one command brings a hundred responses (idiom); having hundreds of attendants at one's beck and call/
一命嗚呼	ʔiʔᵗ miŋ˨˦ ʔu˨˦ hu	/to die (idiom)/to breathe one's last/to give up the ghost/
一命歸天	ʔiʔᵗ miŋ˨˦ kui tʰiɛn	/see 一命嗚呼|一命呜呼/
一命歸西	ʔiʔᵗ miŋ˨˦ kui si	/see 一命嗚呼|一命呜呼/
一品	ʔiʔᵗ pʰin˥˧	/superb/first-rate/(of officials in imperial times) the highest rank/
一品紅	ʔiʔᵗ pʰin˥˧ ɦuŋ˩	/poinsettia (Euphorbia pulcherrima)/
一品鍋	ʔiʔᵗ pʰin˥˧ kwɔ	/dish containing a variety of meats and vegetables arranged in a broth in a clay pot/chafing dish/
一唱一和	ʔiʔᵗ tʃʰiɑŋ˨˦ ʔiʔᵗ ɦwɔ˨˦	/to echo one another (idiom)/
一回事	ʔiʔᵗ ɦui˩ ʂʱɨ˨˦	/one thing/the same as/
一回生二回熟	ʔiʔᵗ ɦui˩ ʂəŋ ɻ˨˦ ɦui˩ ʃʱyuʔᵏ˩	/unfamiliar at first, but well accustomed soon enough (idiom)/
一回生兩回熟	ʔiʔᵗ ɦui˩ ʂəŋ liɑŋ˥˧ ɦui˩ ʃʱyuʔᵏ˩	/see 一回生二回熟/
一國兩制	ʔiʔᵗ kwəʔᵏ liɑŋ˥˧ tʃji˨˦	/one country, two systems (PRC proposal regarding Hong Kong, Macau and Taiwan)/
一團亂糟	ʔiʔᵗ tʱwɔn˩ lwɔn˨˦ tsaw	/a chaotic mess/
一團和氣	ʔiʔᵗ tʱwɔn˩ ɦwɔ˩ kʰi˨˦	/to keep on the right side of everyone (idiom)/warm and affable/
一團漆黑	ʔiʔᵗ tʱwɔn˩ tsʰiʔᵗ həʔᵏ	/pitch-black/(fig.) to be completely in the dark/
一團火	ʔiʔᵗ tʱwɔn˩ hwɔ˥˧	/fireball/ball of fire/
一團糟	ʔiʔᵗ tʱwɔn˩ tsaw	/chaos/bungle/complete mess/shambles/
一堆	ʔiʔᵗ tui	/pile/
一場空	ʔiʔᵗ tʃʱiɑŋ˩ kʰuŋ	/all one's hopes and efforts come to nothing/futile/
一塌糊塗	ʔiʔᵗ tʰaʔᵖ ɦu˩ tʱu˩	/muddled and completely collapsing (idiom); in an awful condition/complete shambles/a total mess/
一塵不染	ʔiʔᵗ tʃʱin˩ puʔᵗ ʒiɛm˥˧	/untainted by even a speck of dust (idiom); selfless and incorruptible/spotless/
一壁	ʔiʔᵗ piʔᵏ	/one side/at the same time/
一壁廂	ʔiʔᵗ piʔᵏ siɑŋ	/see 一壁/
一夔已足	ʔiʔᵗ kʱui˩ ji˥˧ tsyuʔᵏ	/one talented person is enough for the job (idiom)/
一夕	ʔiʔᵗ sʱiʔᵏ˩	/overnight/instantly/very quickly/
一多對應	ʔiʔᵗ tɔ tui˨˦ ʔiŋ˨˦	/one-to-many correspondence/
一夜情	ʔiʔᵗ jiɛ˨˦ tsʱiŋ˩	/one night stand/
一夜爆紅	ʔiʔᵗ jiɛ˨˦ paw˨˦ ɦuŋ˩	/to become popular overnight/
一夜露水	ʔiʔᵗ jiɛ˨˦ lu˨˦ ʂui˥˧	/one-night stand/ephemeral/
一大早	ʔiʔᵗ da(i)˨˦ tsaw˥˧	/at dawn/at first light/first thing in the morning/
一大早兒	ʔiʔᵗ da(i)˨˦ tsaw˥˧ ɻ˩	/erhua variant of 一大早/
一天到晚	ʔiʔᵗ tʰiɛn taw˨˦ van˥˧	/all day long/the whole day/
一夫一妻	ʔiʔᵗ fu ʔiʔᵗ tsʰi	/lit. one husband one wife/monogamy/
一夫多妻	ʔiʔᵗ fu tɔ tsʰi	/polygamy/
一失足成千古恨	ʔiʔᵗ ʃiʔᵗ tsyuʔᵏ tʃʱiŋ˩ tsʰiɛn ku˥˧ ɦən˨˦	/a single slip may cause everlasting sorrow (idiom)/
一套	ʔiʔᵗ tʰaw˨˦	/suit/a set/a collection/of the same kind/the same old stuff/set pattern of behavior/
一妻制	ʔiʔᵗ tsʰi tʃji˨˦	/monogamy/
一孔之見	ʔiʔᵗ kʰuŋ˥˧ tʃɨ kiɛn˨˦	/partial view/limited outlook/
一字	ʔiʔᵗ dzɨ˨˦	/in a row/in a line/
一字一淚	ʔiʔᵗ dzɨ˨˦ ʔiʔᵗ lui˨˦	/each word is a teardrop (idiom)/
一字不提	ʔiʔᵗ dzɨ˨˦ puʔᵗ tʱi˩	/to not mention a single word (about sth) (idiom)/
一字不落	ʔiʔᵗ dzɨ˨˦ puʔᵗ lɒʔᵏ˩	/see 一字不漏/
一字不識	ʔiʔᵗ dzɨ˨˦ puʔᵗ ʃiʔᵏ	/totally illiterate/
一字之師	ʔiʔᵗ dzɨ˨˦ tʃɨ ʂɨ	/one who can correct a misread or misspelt character and thus be your master/
一字兒	ʔiʔᵗ dzɨ˨˦ ɻ˩	/in a row/in a line/
一字千金	ʔiʔᵗ dzɨ˨˦ tsʰiɛn kim	/one word worth a thousand in gold (idiom)/(in praise of a piece of writing or calligraphy) each character is perfect/each word is highly valued/
一字巾	ʔiʔᵗ dzɨ˨˦ kin	/headband/strip of cloth worn around the head/
一字褒貶	ʔiʔᵗ dzɨ˨˦ paw piɛm˥˧	/dispensing praise or blame with a single word (idiom)/concise and powerful style/
一定	ʔiʔᵗ diŋ˨˦	/surely/certainly/necessarily/fixed/a certain (extent etc)/given/particular/must/
一定要	ʔiʔᵗ diŋ˨˦ ʔiɛw˨˦	/must/
一家	ʔiʔᵗ kia	/the whole family/the same family/the family ... (when preceded by a family name)/group/
一家之主	ʔiʔᵗ kia tʃɨ tʃy˥˧	/master of the house/family head/
一家人	ʔiʔᵗ kia ʒin˩	/household/the whole family/
一家子	ʔiʔᵗ kia tsɨ˥˧	/the whole family/
一對	ʔiʔᵗ tui˨˦	/couple/pair/
一對兒	ʔiʔᵗ tui˨˦ ɻ˩	/a pair/a couple/
一小陣兒	ʔiʔᵗ siɛw˥˧ dʒin˨˦ ɻ˩	/very brief period of time/
一展身手	ʔiʔᵗ tʃiɛn˥˧ ʃin ʃiw˥˧	/to showcase one's (unique) talents/to display one's (individual) prowess/
一層	ʔiʔᵗ tsʱəŋ˩	/layer/
一己	ʔiʔᵗ ki˥˧	/oneself/
一帆風順	ʔiʔᵗ fʱam˩ fuŋ ʃʱyun˨˦	/propitious wind throughout the journey (idiom)/plain sailing/to go smoothly/have a nice trip!/
一席之地	ʔiʔᵗ sʱiʔᵏ˩ tʃɨ di˨˦	/(acknowledged) place/a role to play/niche/
一席話	ʔiʔᵗ sʱiʔᵏ˩ ɦwa˨˦	/the content of a conversation/words/remarks/
一帶	ʔiʔᵗ tai˨˦	/region/district/
一帶一路	ʔiʔᵗ tai˨˦ ʔiʔᵗ lu˨˦	/Belt and Road Initiative, Chinese government plan to provide finance and engineering expertise to build infrastructure across Eurasia and northeast Africa, unveiled in 2013/
一年到頭	ʔiʔᵗ niɛn˩ taw˨˦ tʱəw˩	/all year round/
一年半	ʔiʔᵗ niɛn˩ pwɔn˨˦	/a year and a half/
一年半載	ʔiʔᵗ niɛn˩ pwɔn˨˦ tsai˥˧	/about a year/
一年四季	ʔiʔᵗ niɛn˩ sɨ˨˦ ki˨˦	/all year round/
一年多	ʔiʔᵗ niɛn˩ tɔ	/more than a year/
一年生	ʔiʔᵗ niɛn˩ ʂəŋ	/annual (botany)/
一度	ʔiʔᵗ du˨˦	/for a time/at one time/one time/once/
一廂情願	ʔiʔᵗ siɑŋ tsʱiŋ˩ (ŋ)jyuɛn˨˦	/one's own wishful thinking/
一式二份	ʔiʔᵗ ʃiʔᵏ ɻ˨˦ pin	/in duplicate/
一彈指頃	ʔiʔᵗ tʱan˩ tʃɨ˥˧ kʰyuəŋ˥˧	/a snap of the fingers (idiom); in a flash/in the twinkling of an eye/
一往情深	ʔiʔᵗ wɑŋ˥˧ tsʱiŋ˩ ʃim	/deeply attached/devoted/
一往無前	ʔiʔᵗ wɑŋ˥˧ vu˩ tsʱiɛn˩	/to advance courageously (idiom)/to press forward/
一往直前	ʔiʔᵗ wɑŋ˥˧ dʒiʔᵏ˩ tsʱiɛn˩	/see 一往無前|一往无前/
一律	ʔiʔᵗ lyʔᵗ˩	/same/uniformly/all/without exception/
一徑	ʔiʔᵗ kiŋ˨˦	/directly/straightaway/straight/
一心	ʔiʔᵗ sim	/wholeheartedly/heart and soul/
一心一德	ʔiʔᵗ sim ʔiʔᵗ təʔᵏ	/of one heart and one mind (idiom)/
一心一意	ʔiʔᵗ sim ʔiʔᵗ ʔi˨˦	/concentrating one's thoughts and efforts/single-minded/bent on/intently/
一心二用	ʔiʔᵗ sim ɻ˨˦ jyuŋ˨˦	/to do two things at once (idiom)/to multitask/to divide one's attention/
一心多用	ʔiʔᵗ sim tɔ jyuŋ˨˦	/to multitask/
一意	ʔiʔᵗ ʔi˨˦	/focus/with complete devotion/stubbornly/
一意孤行	ʔiʔᵗ ʔi˨˦ ku ɦ(i)əŋ˩	/obstinately clinging to one's course (idiom)/willful/one's own way/dogmatic/
一成不變	ʔiʔᵗ tʃʱiŋ˩ puʔᵗ piɛn˨˦	/nothing much changes (idiom); always the same/stuck in a rut/
一房一廳	ʔiʔᵗ fʱɑŋ˩ ʔiʔᵗ tʰiŋ	/one bedroom and one living room/
一手	ʔiʔᵗ ʃiw˥˧	/a skill/mastery of a trade/by oneself/without outside help/
一手包辦	ʔiʔᵗ ʃiw˥˧ paw ban˨˦	/to take care of a matter all by oneself/to run the whole show/
一手遮天	ʔiʔᵗ ʃiw˥˧ tʃiɛ tʰiɛn	/lit. to hide the sky with one hand/to hide the truth from the masses/
一打	ʔiʔᵗ ta˥˧	/dozen/
一技之長	ʔiʔᵗ gi'˨˦ tʃɨ tʃʱiɑŋ˩	/proficiency in a particular field (idiom)/skill in a specialized area (idiom)/
一把好手	ʔiʔᵗ pa˥˧ haw˥˧ ʃiw˥˧	/expert/dab hand/
一把手	ʔiʔᵗ pa˥˧ ʃiw˥˧	/working hand/member of a work team/participant/(short form of 第一把手) the boss/
一把鑰匙開一把鎖	ʔiʔᵗ pa˥˧ jiɒʔᵏ˩ ʃʱɨ˩ kʰai ʔiʔᵗ pa˥˧ s(w)ɔ˥˧	/One key opens one lock./There is a different solution for each problem. (idiom)/
一掃而光	ʔiʔᵗ saw˥˧ ɻ˩ kwɑŋ	/to clear off/to make a clean sweep of/
一掃而空	ʔiʔᵗ saw˥˧ ɻ˩ kʰuŋ	/to sweep clean/to clean out/
一掬同情之淚	ʔiʔᵗ kyuʔᵏ tʱuŋ˩ tsʱiŋ˩ tʃɨ lui˨˦	/to shed tears of sympathy (idiom)/
一揮而就	ʔiʔᵗ hui ɻ˩ dziw˨˦	/to finish (a letter, a painting) at a stroke/
一撥兒	ʔiʔᵗ pwɔʔᵗ ɻ˩	/group of people/
一擁而上	ʔiʔᵗ jyuŋ˥˧ ɻ˩ ʃʱiɑŋ'˨˦	/to swarm around/flocking (to see)/
一擁而入	ʔiʔᵗ jyuŋ˥˧ ɻ˩ ʒiʔᵖ˩	/to swarm in (of people etc) (idiom)/
一擊入洞	ʔiʔᵗ kiʔᵏ ʒiʔᵖ˩ duŋ˨˦	/hole in one (golf)/
一擲千金	ʔiʔᵗ dʒiʔᵏ˩ tsʰiɛn kim	/lit. stake a thousand pieces of gold on one throw (idiom); to throw away money recklessly/extravagant/
一攬子	ʔiʔᵗ lam˥˧ tsɨ˥˧	/all-inclusive/undiscriminating/
一改故轍	ʔiʔᵗ kai˥˧ ku˨˦ dʒiɛʔᵗ˩	/complete change from the old rut (idiom); dramatic change of direction/a volte-face/to change old practices/
一敗塗地	ʔiʔᵗ bai˨˦ tʱu˩ di˨˦	/failed and wiped over the floor (idiom); to fail utterly/a crushing defeat/beaten and in a hopeless position/
一文不名	ʔiʔᵗ vun˩ puʔᵗ miŋ˩	/to be penniless/
一斑	ʔiʔᵗ pan	/lit. one spot (on the leopard)/fig. one small item in a big scheme/
一方	ʔiʔᵗ fɑŋ	/a party (in a contract or legal case)/one side/area/region/
一方面	ʔiʔᵗ fɑŋ miɛn˨˦	/on the one hand/
一旁	ʔiʔᵗ pʱɑŋ˩	/aside/to the side of/
一族	ʔiʔᵗ dzuʔᵏ˩	/social group/subculture/family/clan/see also 族/
一日三秋	ʔiʔᵗ ʒiʔᵗ˩ sam tsʰiw	/a single day apart seems like three seasons (idiom)/
一日不如一日	ʔiʔᵗ ʒiʔᵗ˩ puʔᵗ ʒy˩ ʔiʔᵗ ʒiʔᵗ˩	/to be getting worse by the day/
一日之雅	ʔiʔᵗ ʒiʔᵗ˩ tʃɨ (ŋ)jia˥˧	/lit. friends for a day (idiom)/fig. casual acquaintance/
一日千里	ʔiʔᵗ ʒiʔᵗ˩ tsʰiɛn li˥˧	/lit. one day, a thousand miles (idiom); rapid progress/
一早	ʔiʔᵗ tsaw˥˧	/early in the morning/at dawn/
一星半點	ʔiʔᵗ siŋ pwɔn˨˦ tiɛm˥˧	/just the tiniest bit/a hint of/
一時	ʔiʔᵗ ʃʱɨ˩	/a period of time/a while/for a short while/temporary/momentary/at the same time/
一時半刻	ʔiʔᵗ ʃʱɨ˩ pwɔn˨˦ kʰəʔᵏ	/a short time/a little while/
一時半會	ʔiʔᵗ ʃʱɨ˩ pwɔn˨˦ ɦui˨˦	/a short time/a little while/
一時半會兒	ʔiʔᵗ ʃʱɨ˩ pwɔn˨˦ ɦui˨˦ ɻ˩	/a short time/a little while/
一時半霎	ʔiʔᵗ ʃʱɨ˩ pwɔn˨˦ ʂaʔᵖ	/a short time/a little while/
一時瑜亮	ʔiʔᵗ ʃʱɨ˩ jy˩ liɑŋ˨˦	/two remarkable persons living at the same period (as 周瑜 and 諸葛亮|诸葛亮)/
一更	ʔiʔᵗ k(i)əŋ	/first of the five night watch periods 19:00-21:00 (old)/
一會	ʔiʔᵗ ɦui˨˦	/a moment/a while/in a moment/also pr. [yi1 hui3]/
一會兒	ʔiʔᵗ ɦui˨˦ ɻ˩	/a moment/a while/in a moment/now...now.../also pr. [yi1 hui3 r5]/
一月	ʔiʔᵗ (ŋ)jyuɛʔᵗ˩	/January/first month (of the lunar year)/
一月份	ʔiʔᵗ (ŋ)jyuɛʔᵗ˩ pin	/January/
一朝一夕	ʔiʔᵗ tʃiɛw ʔiʔᵗ sʱiʔᵏ˩	/lit. one morning and one evening (idiom)/fig. in a short period of time/overnight/
一木難支	ʔiʔᵗ muʔᵏ˩ nan˩ tʃɨ	/lit. a single post cannot prop up a falling house (idiom)/fig. one is helpless alone/
一本萬利	ʔiʔᵗ pun˥˧ van˨˦ li˨˦	/small capital, huge profit (idiom); to put in a little and get a lot out/
一杯羹	ʔiʔᵗ pui k(i)əŋ	/lit. a cup of soup/fig. to get part of the profits/one's share of the action/
一東一西	ʔiʔᵗ tuŋ ʔiʔᵗ si	/far apart/
一板一眼	ʔiʔᵗ pan˥˧ ʔiʔᵗ (ŋ)jian˥˧	/lit. one strong beat and one weak beats in a measure of music (two beats in the bar) (idiom); fig. follow a prescribed pattern to the letter/scrupulous attention to detail/
一枝獨秀	ʔiʔᵗ tʃɨ duʔᵏ˩ siw˨˦	/lit. only one branch of the tree is thriving (idiom)/fig. to be in a league of one's own/outstanding/
一根筋	ʔiʔᵗ kən kin	/stubborn/inflexible/one-track minded/
一條心	ʔiʔᵗ tʱiɛw˩ sim	/to be of one mind/to think or act alike/
一條道走到黑	ʔiʔᵗ tʱiɛw˩ daw'˨˦ tsəw˥˧ taw˨˦ həʔᵏ	/to stick to one's ways/to cling to one's course/
一條龍	ʔiʔᵗ tʱiɛw˩ lyuŋ˩	/lit. one dragon/integrated chain/coordinated process/
一次	ʔiʔᵗ tsʰɨ˨˦	/first/first time/once/(math.) linear (of degree one)/
一次又一次	ʔiʔᵗ tsʰɨ˨˦ jiw˨˦ ʔiʔᵗ tsʰɨ˨˦	/repeatedly/over and over again/
一次性	ʔiʔᵗ tsʰɨ˨˦ siŋ˨˦	/one-off (offer)/one-time/single-use/disposable (goods)/
一次方程	ʔiʔᵗ tsʰɨ˨˦ fɑŋ tʃʱiŋ˩	/linear equation/
一次方程式	ʔiʔᵗ tsʰɨ˨˦ fɑŋ tʃʱiŋ˩ ʃiʔᵏ	/linear equation (math.)/
一步一個腳印	ʔiʔᵗ bu˨˦ ʔiʔᵗ kɔ˨˦ kiɒʔᵏ ʔin˨˦	/one step, one footprint (idiom); steady progress/reliable/
